legacy_url,new_url,content_type,status,notes
/img/group/Yong-Li.jpg,/assets/pic/people/Yong-Li.jpg,asset,migrated,copied-original
/img/group/YupengJiang.jpg,/assets/pic/people/YupengJiang.jpg,asset,migrated,copied-original
/img/group/Yuzhe-Tian.jpg,/assets/pic/people/Yuzhe-Tian.jpg,asset,migrated,copied-original
/img/group/bingbing-zhu.jpg,/assets/pic/people/bingbing-zhu.jpg,asset,migrated,copied-original
/img/group/cai_yuxuan.jpg,/assets/pic/people/cai_yuxuan.jpg,asset,migrated,pillow-12.3.0-jpeg-q85-max-2000
/img/group/dy.jpg,/assets/pic/people/dy.jpg,asset,migrated,copied-original
/img/group/jameszheng.jpg,/assets/pic/people/jameszheng.jpg,asset,migrated,copied-original
/img/group/jiaohong-yao.jpg,/assets/pic/people/jiaohong-yao.jpg,asset,migrated,copied-original
/img/group/liuxiao.jpg,/assets/pic/people/liuxiao.jpg,asset,migrated,copied-original
/img/group/lu.jpg,/assets/pic/people/lu.jpg,asset,migrated,copied-original
/img/group/qiong-li.jpg,/assets/pic/people/qiong-li.jpg,asset,migrated,copied-original
/img/group/sam.jpg,/assets/pic/people/sam.jpg,asset,migrated,copied-original
/img/group/shuaiyi-sun.jpg,/assets/pic/people/shuaiyi-sun.jpg,asset,migrated,copied-original
/img/group/siwei-luo.jpg,/assets/pic/people/siwei-luo.jpg,asset,migrated,pillow-12.3.0-jpeg-q85-max-2000
/img/group/tianqing.jpg,/assets/pic/people/tianqing.jpg,asset,migrated,copied-original
/img/group/tong.jpg,/assets/pic/people/tong.jpg,asset,migrated,copied-original
/img/group/wenyu-dong.jpg,/assets/pic/people/wenyu-dong.jpg,asset,migrated,pillow-12.3.0-jpeg-q85-max-2000
/img/group/zhen-lu.jpg,/assets/pic/people/zhen-lu.jpg,asset,migrated,copied-original
/img/projects/ADAS.jpg,/assets/pic/projects/ADAS.jpg,asset,migrated,copied-original
/img/projects/Cyber_physical.jpg,/assets/pic/projects/Cyber_physical.jpg,asset,migrated,copied-original
/img/projects/Picture1.png,/assets/pic/projects/Picture1.png,asset,migrated,copied-original
/img/projects/Picture2.png,/assets/pic/projects/Picture2.png,asset,migrated,copied-original
/img/projects/Picture3.jpeg,/assets/pic/projects/Picture3.jpeg,asset,migrated,copied-original
/img/projects/Picture4.jpg,/assets/pic/projects/Picture4.jpg,asset,migrated,pillow-12.3.0-jpeg-q85-max-2000
/img/projects/alibaba.jpg,/assets/pic/projects/alibaba.jpg,asset,migrated,copied-original
/img/projects/autonomous.jpeg,/assets/pic/projects/autonomous.jpeg,asset,migrated,copied-original
/img/projects/battery.jpg,/assets/pic/projects/battery.jpg,asset,migrated,copied-original
/img/projects/safe.jpg,/assets/pic/projects/safe.jpg,asset,migrated,copied-original
/img/logo/bannerPercom2022_small.jpg,/assets/pic/brand/bannerPercom2022_small.jpg,asset,migrated,copied-original
/img/logo/fse_2022_small.jpg,/assets/pic/brand/fse_2022_small.jpg,asset,migrated,copied-original
/img/logo/logo-large-old.png,/assets/pic/brand/logo-large-old.png,asset,migrated,copied-original
/img/logo/logo-large.png,/assets/pic/brand/logo-large.png,asset,migrated,copied-original
/img/logo/logo.png,/assets/pic/brand/logo.png,asset,migrated,copied-original
/img/logo/logo2.png,/assets/pic/brand/logo2.png,asset,migrated,copied-original
/img/logo/logo3.png,/assets/pic/brand/logo3.png,asset,migrated,copied-original
/img/logo/logo_uni-old.png,/assets/pic/brand/logo_uni-old.png,asset,migrated,copied-original
/img/background/background.jpg,/assets/pic/brand/background.jpg,asset,migrated,copied-original
/img/background/computer_room_small.jpg,/assets/pic/brand/computer_room_small.jpg,asset,migrated,copied-original
/img/background/conference.jpg,/assets/pic/brand/conference.jpg,asset,migrated,copied-original
/img/background/project_70.jpg,/assets/pic/brand/project_70.jpg,asset,migrated,copied-original
/doc/Top-Downloaded-Article-2017-2018.pdf,/assets/documents/Top-Downloaded-Article-2017-2018.pdf,asset,migrated,copied-original
/doc/citations2.pdf,/assets/documents/citations2.pdf,asset,migrated,copied-original
/doc/innovation-project.pdf,/assets/documents/innovation-project.pdf,asset,migrated,copied-original
